,will it rain tomorrow,my prediction
0,No,No
1,No,No
2,No,No
3,No,No
4,No,No
5,No,No
6,No,No
7,Yes,Yes
8,Yes,No
9,Yes,No
10,No,No
11,Yes,Yes
12,No,No
13,No,No
14,Yes,No
15,No,No
16,No,No
17,No,No
18,No,No
19,Yes,No
20,Yes,Yes
21,No,No
22,No,No
23,No,No
24,No,No
25,No,No
26,No,No
27,No,No
28,No,No
29,Yes,Yes
30,No,No
31,No,No
32,No,No
33,Yes,Yes
34,No,No
35,No,No
36,No,No
37,Yes,Yes
38,No,No
39,No,No
40,No,No
41,Yes,Yes
42,No,No
43,No,No
44,Yes,No
45,Yes,No
46,No,No
47,Yes,No
48,No,Yes
49,Yes,Yes
50,No,No
51,Yes,Yes
52,No,No
53,Yes,No
54,No,No
55,No,No
56,No,No
57,Yes,No
58,No,No
59,Yes,No
60,No,No
61,Yes,No
62,No,No
63,No,No
64,No,No
65,Yes,Yes
66,No,No
67,Yes,No
68,Yes,Yes
69,No,No
70,No,No
71,No,No
72,No,No
73,Yes,No
74,No,No
75,No,No
76,No,No
77,No,No
78,No,No
79,No,No
80,No,No
81,No,No
82,No,No
83,Yes,No
84,No,No
85,No,No
86,No,No
87,No,No
88,No,No
89,No,No
90,Yes,No
91,Yes,No
92,No,No
93,No,No
94,No,No
95,No,No
96,No,No
97,No,No
98,No,No
99,No,No
100,No,No
101,No,No
102,Yes,No
103,No,No
104,Yes,No
105,Yes,Yes
106,No,No
107,No,No
108,Yes,No
109,No,No
110,No,No
111,No,No
112,No,No
113,No,No
114,No,No
115,Yes,Yes
116,No,No
117,No,No
118,No,No
119,No,No
120,No,No
121,No,No
122,No,No
123,No,No
124,Yes,No
125,No,No
126,Yes,No
127,No,No
128,No,No
129,No,No
130,No,No
131,No,No
132,No,No
133,No,No
134,Yes,No
135,No,No
136,No,No
137,No,No
138,No,No
139,No,No
140,No,No
141,No,No
142,No,No
143,No,No
144,No,No
145,Yes,No
146,No,No
147,No,No
148,No,No
149,No,No
150,Yes,Yes
151,Yes,Yes
152,No,No
153,Yes,Yes
154,No,No
155,No,No
156,No,No
157,No,No
158,No,No
159,No,No
160,No,Yes
161,No,No
162,No,No
163,No,No
164,No,No
165,Yes,No
166,No,No
167,No,Yes
168,No,No
169,Yes,No
170,No,No
171,Yes,Yes
172,Yes,Yes
173,No,No
174,No,No
175,Yes,Yes
176,No,No
177,No,No
178,No,No
179,No,No
180,Yes,No
181,No,No
182,No,No
183,No,No
184,Yes,Yes
185,No,No
186,No,No
187,Yes,Yes
188,No,No
189,No,No
190,No,No
191,No,No
192,No,No
193,No,No
194,No,No
195,No,No
196,Yes,Yes
197,No,No
198,No,No
199,No,No
200,Yes,No
